Project_Name,Project_Link,HTML_Filename,Full_Filepath,Download_Status
Aarhus City Perspective Regreen Urban Living Lab Denmark,https://oppla.eu/clearing-house/case-study/aarhus-city-perspective-regreen-urban-living-lab-denmark,093_Aarhus_City_Perspective_Regreen_Urban_Living_Lab_Denmark.html,raw_html_data\093_Aarhus_City_Perspective_Regreen_Urban_Living_Lab_Denmark.html,Success
Barking Riverside Ecomimicry,https://oppla.eu/turas/case-study/barking-riverside-ecomimicry,132_Barking_Riverside_Ecomimicry.html,raw_html_data\132_Barking_Riverside_Ecomimicry.html,Success
Batya Belteruleti Csapadekesemenyek Kezelese Tobbmedences Csapadekviz Taplalta Vizes,https://oppla.eu/team-hub/case-study/batya-belteruleti-csapadekesemenyek-kezelese-tobbmedences-csapadekviz-taplalta-vizes,069_Batya_Belteruleti_Csapadekesemenyek_Kezelese_Tobbmedences_Csapadekviz_Taplalta_V.html,raw_html_data\069_Batya_Belteruleti_Csapadekesemenyek_Kezelese_Tobbmedences_Csapadekviz_Taplalta_V.html,Success
Beepathnet Varosi Meheszet Mehbarat Kerulet Program Budapest Xii Keruleteben,https://oppla.eu/team-hub/case-study/beepathnet-varosi-meheszet-mehbarat-kerulet-program-budapest-xii-keruleteben,058_Beepathnet_Varosi_Meheszet_Mehbarat_Kerulet_Program_Budapest_Xii_Keruleteben.html,raw_html_data\058_Beepathnet_Varosi_Meheszet_Mehbarat_Kerulet_Program_Budapest_Xii_Keruleteben.html,Success
Beijing Plain Area Afforestation Programme Bpap Beijing China,https://oppla.eu/clearing-house/case-study/beijing-plain-area-afforestation-programme-bpap-beijing-china,100_Beijing_Plain_Area_Afforestation_Programme_Bpap_Beijing_China.html,raw_html_data\100_Beijing_Plain_Area_Afforestation_Programme_Bpap_Beijing_China.html,Success
Biodiversity Urban And Coastal Areas Iceland,https://oppla.eu/nordic-hub/case-study/biodiversity-urban-and-coastal-areas-iceland,066_Biodiversity_Urban_And_Coastal_Areas_Iceland.html,raw_html_data\066_Biodiversity_Urban_And_Coastal_Areas_Iceland.html,Success
Blue Forest Ecosystem Restoration Along Coast Norway,https://oppla.eu/invest4nature/case-study/blue-forest-ecosystem-restoration-along-coast-norway,006_Blue_Forest_Ecosystem_Restoration_Along_Coast_Norway.html,raw_html_data\006_Blue_Forest_Ecosystem_Restoration_Along_Coast_Norway.html,Success
Bois De Vincennes Vincennes Forest Paris France,https://oppla.eu/clearing-house/case-study/bois-de-vincennes-vincennes-forest-paris-france,092_Bois_De_Vincennes_Vincennes_Forest_Paris_France.html,raw_html_data\092_Bois_De_Vincennes_Vincennes_Forest_Paris_France.html,Success
Cemetery Conversion,https://oppla.eu/edicitnet/case-study/cemetery-conversion,057_Cemetery_Conversion.html,raw_html_data\057_Cemetery_Conversion.html,Success
City Districts Testing Grounds Integrated Sustainable Stormwater Solutions Through,https://oppla.eu/conexus/case-study/city-districts-testing-grounds-integrated-sustainable-stormwater-solutions-through,083_City_Districts_Testing_Grounds_Integrated_Sustainable_Stormwater_Solutions_Throu.html,raw_html_data\083_City_Districts_Testing_Grounds_Integrated_Sustainable_Stormwater_Solutions_Throu.html,Success
Clever Way Hamburg Neugraben Fischbek,https://oppla.eu/clever-cities/case-study/clever-way-hamburg-neugraben-fischbek,038_Clever_Way_Hamburg_Neugraben_Fischbek.html,raw_html_data\038_Clever_Way_Hamburg_Neugraben_Fischbek.html,Success
Climate Change Adaptation And Resilience Through Natural Capital And Forest Management,https://oppla.eu/invest4nature/case-study/climate-change-adaptation-and-resilience-through-natural-capital-and-forest-management,003_Climate_Change_Adaptation_And_Resilience_Through_Natural_Capital_And_Forest_Mana.html,raw_html_data\003_Climate_Change_Adaptation_And_Resilience_Through_Natural_Capital_And_Forest_Mana.html,Success
Climate Change Stresstest Schiedam,https://oppla.eu/turas/case-study/climate-change-stresstest-schiedam,131_Climate_Change_Stresstest_Schiedam.html,raw_html_data\131_Climate_Change_Stresstest_Schiedam.html,Success
Co Creation Urbinat Healthy Corridor Campana Porto,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-campana-porto,048_Co_Creation_Urbinat_Healthy_Corridor_Campana_Porto.html,raw_html_data\048_Co_Creation_Urbinat_Healthy_Corridor_Campana_Porto.html,Success
Co Creation Urbinat Healthy Corridor Hoje Taastrup Copenhagen,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-hoje-taastrup-copenhagen,049_Co_Creation_Urbinat_Healthy_Corridor_Hoje_Taastrup_Copenhagen.html,raw_html_data\049_Co_Creation_Urbinat_Healthy_Corridor_Hoje_Taastrup_Copenhagen.html,Success
Co Creation Urbinat Healthy Corridor Nadezhda Sofia,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nadezhda-sofia,047_Co_Creation_Urbinat_Healthy_Corridor_Nadezhda_Sofia.html,raw_html_data\047_Co_Creation_Urbinat_Healthy_Corridor_Nadezhda_Sofia.html,Success
Co Creation Urbinat Healthy Corridor Nantes Nord Nantes,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nantes-nord-nantes,046_Co_Creation_Urbinat_Healthy_Corridor_Nantes_Nord_Nantes.html,raw_html_data\046_Co_Creation_Urbinat_Healthy_Corridor_Nantes_Nord_Nantes.html,Success
Co Creation Urbinat Healthy Corridor Neder Over Heembeek Brussels,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-neder-over-heembeek-brussels,044_Co_Creation_Urbinat_Healthy_Corridor_Neder_Over_Heembeek_Brussels.html,raw_html_data\044_Co_Creation_Urbinat_Healthy_Corridor_Neder_Over_Heembeek_Brussels.html,Success
Co Creation Urbinat Healthy Corridor Nova Gorica Slovenia,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nova-gorica-slovenia,042_Co_Creation_Urbinat_Healthy_Corridor_Nova_Gorica_Slovenia.html,raw_html_data\042_Co_Creation_Urbinat_Healthy_Corridor_Nova_Gorica_Slovenia.html,Success
Co Creation Urbinat Healthy Corridor Siena,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-siena,045_Co_Creation_Urbinat_Healthy_Corridor_Siena.html,raw_html_data\045_Co_Creation_Urbinat_Healthy_Corridor_Siena.html,Success
Collaborative Planning Nottingham,https://oppla.eu/turas/case-study/collaborative-planning-nottingham,130_Collaborative_Planning_Nottingham.html,raw_html_data\130_Collaborative_Planning_Nottingham.html,Success
Community Interest Company Barking Riverside,https://oppla.eu/turas/case-study/community-interest-company-barking-riverside,133_Community_Interest_Company_Barking_Riverside.html,raw_html_data\133_Community_Interest_Company_Barking_Riverside.html,Success
Community Involvement Sofia,https://oppla.eu/turas/case-study/community-involvement-sofia,129_Community_Involvement_Sofia.html,raw_html_data\129_Community_Involvement_Sofia.html,Success
Community Supported Agriculture Group,https://oppla.eu/edicitnet/case-study/community-supported-agriculture-group,054_Community_Supported_Agriculture_Group.html,raw_html_data\054_Community_Supported_Agriculture_Group.html,Success
Complex Three Parks Foreseen Site International Horticultural Exhibition 2024 Lodz,https://oppla.eu/clearing-house/case-study/complex-three-parks-foreseen-site-international-horticultural-exhibition-2024-lodz,107_Complex_Three_Parks_Foreseen_Site_International_Horticultural_Exhibition_2024_Lo.html,raw_html_data\107_Complex_Three_Parks_Foreseen_Site_International_Horticultural_Exhibition_2024_Lo.html,Success
Conexus 61 Enhancing Urban Biodiversity Through Learning Communities City Buenos Aires,https://oppla.eu/conexus/case-study/conexus-61-enhancing-urban-biodiversity-through-learning-communities-city-buenos-aires,037_Conexus_61_Enhancing_Urban_Biodiversity_Through_Learning_Communities_City_Buenos.html,raw_html_data\037_Conexus_61_Enhancing_Urban_Biodiversity_Through_Learning_Communities_City_Buenos.html,Success
Conexus 61 Laboratorio Biourbano Santiago De Chile,https://oppla.eu/conexus/case-study/conexus-61-laboratorio-biourbano-santiago-de-chile,032_Conexus_61_Laboratorio_Biourbano_Santiago_De_Chile.html,raw_html_data\032_Conexus_61_Laboratorio_Biourbano_Santiago_De_Chile.html,Success
Conexus 61 Lisgreen Re Naturing Urban Spaces Lisbon,https://oppla.eu/conexus/case-study/conexus-61-lisgreen-re-naturing-urban-spaces-lisbon,033_Conexus_61_Lisgreen_Re_Naturing_Urban_Spaces_Lisbon.html,raw_html_data\033_Conexus_61_Lisgreen_Re_Naturing_Urban_Spaces_Lisbon.html,Success
Conexus 61 Observatori Dagricultura Urbana Barcelonas Urban Agriculture Observatory,https://oppla.eu/conexus/case-study/conexus-61-observatori-dagricultura-urbana-barcelonas-urban-agriculture-observatory,035_Conexus_61_Observatori_Dagricultura_Urbana_Barcelonas_Urban_Agriculture_Observat.html,raw_html_data\035_Conexus_61_Observatori_Dagricultura_Urbana_Barcelonas_Urban_Agriculture_Observat.html,Success
Conexus 61 Restoring Hydro Social Systems Southern And Northern Borders Bogota,https://oppla.eu/conexus/case-study/conexus-61-restoring-hydro-social-systems-southern-and-northern-borders-bogota,034_Conexus_61_Restoring_Hydro_Social_Systems_Southern_And_Northern_Borders_Bogota.html,raw_html_data\034_Conexus_61_Restoring_Hydro_Social_Systems_Southern_And_Northern_Borders_Bogota.html,Success
Conexus 61 Restoring Protecting And Maintaining Thriving Urban Forests Three Pilots City,https://oppla.eu/conexus/case-study/conexus-61-restoring-protecting-and-maintaining-thriving-urban-forests-three-pilots-city,031_Conexus_61_Restoring_Protecting_And_Maintaining_Thriving_Urban_Forests_Three_Pil.html,raw_html_data\031_Conexus_61_Restoring_Protecting_And_Maintaining_Thriving_Urban_Forests_Three_Pil.html,Success
Conexus 61 Valdocco Vivibile Nbs Liveable And Climate Proof Neighbourhoods Turin,https://oppla.eu/conexus/case-study/conexus-61-valdocco-vivibile-nbs-liveable-and-climate-proof-neighbourhoods-turin,030_Conexus_61_Valdocco_Vivibile_Nbs_Liveable_And_Climate_Proof_Neighbourhoods_Turin.html,raw_html_data\030_Conexus_61_Valdocco_Vivibile_Nbs_Liveable_And_Climate_Proof_Neighbourhoods_Turin.html,Success
Connect Dots Observation Colab,https://oppla.eu/turas/case-study/connect-dots-observation-colab,128_Connect_Dots_Observation_Colab.html,raw_html_data\128_Connect_Dots_Observation_Colab.html,Success
Cooperating People And Nature Afforestation Rural And Suburban Landscapes,https://oppla.eu/invest4nature/case-study/cooperating-people-and-nature-afforestation-rural-and-suburban-landscapes,005_Cooperating_People_And_Nature_Afforestation_Rural_And_Suburban_Landscapes.html,raw_html_data\005_Cooperating_People_And_Nature_Afforestation_Rural_And_Suburban_Landscapes.html,Success
Creating Climate Resilient City Through Open Green Spaces,https://oppla.eu/invest4nature/case-study/creating-climate-resilient-city-through-open-green-spaces,004_Creating_Climate_Resilient_City_Through_Open_Green_Spaces.html,raw_html_data\004_Creating_Climate_Resilient_City_Through_Open_Green_Spaces.html,Success
