Project_Name,Project_Link,HTML_Filename,Full_Filepath,Download_Status
"""Gallus Garden"" Community Garden",https://una.city/nbs/frankfurt-am-main/gallus-garden-community-garden,013_Gallus_Garden_Community_Garden.html,raw_html_data\013_Gallus_Garden_Community_Garden.html,Success
"""Green country"" : planting 1 million trees",https://una.city/nbs/fort-de-france-fua/green-country-planting-1-million-trees,014_Green_country__planting_1_million_trees.html,raw_html_data\014_Green_country__planting_1_million_trees.html,Success
"""Herzkamp"" lighthouse project in Hanover-Bothfeld",https://una.city/nbs/hannover/herzkamp-lighthouse-project-hanover-bothfeld,015_Herzkamp_lighthouse_project_in_Hanover-Bothfeld.html,raw_html_data\015_Herzkamp_lighthouse_project_in_Hanover-Bothfeld.html,Success
"""I Have A Bee"" Organisation",https://una.city/nbs/sofia/i-have-bee-organisation,016_I_Have_A_Bee_Organisation.html,raw_html_data\016_I_Have_A_Bee_Organisation.html,Success
"""Let's return the rivers to the city"" campaign",https://una.city/nbs/izhevsk/lets-return-rivers-city-campaign,017_Lets_return_the_rivers_to_the_city_campaign.html,raw_html_data\017_Lets_return_the_rivers_to_the_city_campaign.html,Success
"""Misheel"" botanical garden",https://una.city/nbs/ulaanbaatar/misheel-botanical-garden,018_Misheel_botanical_garden.html,raw_html_data\018_Misheel_botanical_garden.html,Success
"""Planting a tree for the climate""",https://una.city/nbs/fez/planting-tree-climate,019_Planting_a_tree_for_the_climate.html,raw_html_data\019_Planting_a_tree_for_the_climate.html,Success
"""Rain garden"" along the October 28th street in Thessaloniki",https://una.city/nbs/thessaloniki-fua/rain-garden-along-october-28th-street-thessaloniki,020_Rain_garden_along_the_October_28th_street_in_Thessaloniki.html,raw_html_data\020_Rain_garden_along_the_October_28th_street_in_Thessaloniki.html,Success
"""Uuliin Nuur"" Park",https://una.city/nbs/ulaanbaatar/uuliin-nuur-park,021_Uuliin_Nuur_Park.html,raw_html_data\021_Uuliin_Nuur_Park.html,Success
"'Nature Island' Community Garden - Pennenfeld, Bonn",https://una.city/nbs/bonn/nature-island-community-garden-pennenfeld-bonn,011_Nature_Island_Community_Garden_-_Pennenfeld_Bonn.html,raw_html_data\011_Nature_Island_Community_Garden_-_Pennenfeld_Bonn.html,Success
