title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,processed_date
Ecological Restoration of Coastal Dunes and Rewilding of The Vinhas River,"The project involves the restoration of coastal dunes and rewilding of the Vinhas river in Cascais, Portugal. The main objectives are mitigation of coastal erosion, ecosystem restoration, biodiversity enhancement, flood mitigation, and soil erosion control. Actions include the eradication of invasive species, planting of native perennial herbaceous species, and creation of biodiversity hotspots.",unknown,Cascais,Portugal,city,"['dune restoration', 'rewilding', 'eradication of invasive species', 'planting of native perennial herbaceous species']","['coastal erosion', 'biodiversity loss', 'floods', 'soil erosion']",[],"['dune restoration and coastal protection', 'biodiversity enhancement and conservation', 'eradication of invasive species', 'rewilding for flood protection and soil erosion control']","Empresa Municipal de Ambiente de Cascais, E.M., S.A. (EMAC) – Cascais Municipal Environment Company",https://oppla.eu/invest4nature/case-study/ecological-restoration-coastal-dunes-and-rewilding-vinhas-river,coastal,2025-09-14 11:24:10
Climate Change Adaptation and Resilience Through Natural Capital and Forest Management In Tirol,"The Living Lab addresses the challenges related to climate change adaptation and resilience through the use of natural capital in the built environment and an NbS-based forestry management support system. The project aims to improve biodiversity, resilience, soil conservation, and wetland ecosystems, and provide flood protection. The learnings from the project will be used to promote the integration of NbS in local and regional climate action plans.",unknown,Tyrol,Austria,unknown,"['natural capital in the built environment', 'nbs-based forestry management support system', 'improvement of wetland ecosystems']","['climate change adaptation and resilience', 'biodiversity', 'soil conservation', 'flooding']",[],"['biodiversity enhancement and resilience', 'soil conservation', 'sustainable forestry', 'improvement of wetland ecosystems', 'flood protection']",Klimabündnis Tirol – Climate Alliance Tyrol,https://oppla.eu/invest4nature/case-study/climate-change-adaptation-and-resilience-through-natural-capital-and-forest-management,forest,2025-09-14 11:24:10
Creating a Climate-resilient City Through Open Green Spaces In Poznań,"The project focuses on establishing a network of 21 natural playgrounds in pre-schools across Poznań, Poland. These playgrounds replace artificial safety surfaces with natural ones and are equipped with wooden and plant elements, enhancing biodiversity and water retention. The project has three phases: planning, delivery, and stewardship, with an emphasis on long-term planning and up-scaling for future projects.",planned,Poznań,Poland,city,"['open green spaces', 'natural playgrounds', 'water retention']",['urban heat stress'],"['improved well-being', 'improved mental health', 'enhanced creativity']","['good quality green spaces', 'water retention', 'public wellbeing']",Miasto Poznań – City of Poznań,https://oppla.eu/invest4nature/case-study/creating-climate-resilient-city-through-open-green-spaces,urban,2025-09-14 11:24:10
Cooperating with people and nature for afforestation of rural and suburban landscapes in Aarhus,"Afforestation is implemented in Aarhus Municipality to enhance biodiversity, secure drinking water, retain rainwater, enhance recreational value, and create a new carbon sink. The project involves cooperation with organizations, private enterprises, The Danish Ministry of Environment, citizens and private landowners. The vision is to use NbS solutions to create a greener landscape with more water, double the area with nature and forest, increase water retention, increase biodiversity and secure drinking water for future generations.",unknown,Aarhus Municipality,Denmark,city,['afforestation'],"['biodiversity loss', 'drinking water security', 'rainwater retention', 'recreation', 'carbon sequestration']",[],"['better conditions for biodiversity', 'improved drinking water', 'improved recreation', 'new carbon sinks']","Aarhus Municipality in cooperation with organizations, private enterprises, The Danish Ministry of Environment, citizens and private landowners",https://oppla.eu/invest4nature/case-study/cooperating-people-and-nature-afforestation-rural-and-suburban-landscapes,unknown,2025-09-14 11:24:10
Blue Forest Ecosystem Restoration Along The Coast of Norway,"The project aims to restore the blue forest habitats along the coast of Norway to improve the coastal ecosystem, increase biodiversity and fish populations, enhance recreational value, and regain the blue forests role as a carbon sink. The restoration activities include kelp and sea grass transplanting or sea urchin harvesting and culling. The project also aims to develop feasible business models for future blue forest and coastal ecosystem restoration activities.",planned,Coast of Norway,Norway,regional,"['blue forest restoration', 'kelp and sea grass transplanting', 'sea urchin harvesting and culling']","['decline in biodiversity', 'loss of blue forests', 'climate change', 'coastal erosion']",[],"['improved coastal ecosystem', 'increased biodiversity and fish populations', 'enhanced recreational value', 'regained role of blue forests as carbon sink']",The Norwegian Institute for Water Research (NIVA),https://oppla.eu/invest4nature/case-study/blue-forest-ecosystem-restoration-along-coast-norway,coastal,2025-09-14 11:24:10
"INTERLACE project in Portoviejo, Ecuador: using nature-based solutions for sustainable urban development, with a focus on river corridor restoration","The INTERLACE project in Portoviejo, Ecuador aims to use nature-based solutions for sustainable urban development, focusing on river corridor restoration. The project has introduced new thinking around nature-based solutions and specifically the ecological restoration of sensitive ecosystems, with a focus on the Portoviejo river corridor. The project has contributed to the development of new NbS tools and policy/governance instruments and has increased the capacity of local communities to engage in NbS projects through a programme of education and awareness-raising.",unknown,Portoviejo,Ecuador,city,"['river corridor restoration', 'urban ecosystem restoration', 'nature-based solutions']","['urban expansion', 'landslide risk', 'isolation and pollution of the portoviejo river']",[],"['public engagement in co-producing and promoting ownership of nature-based solutions', 'increased capacity of local government to implement integrated and ecologically coherent urban planning and governance approaches', 'raised awareness and understanding of the benefits of healthy (peri)urban ecosystems for social, cultural and economic wellbeing']","The municipality of Portoviejo, YES Innovation, Ecologic Institute",https://oppla.eu/interlace/case-study/interlace-project-portoviejo-ecuador-using-nature-based-solutions-sustainable-urban,urban,2025-09-14 11:24:10
"INTERLACE project in Metropolia Krakowska, Poland","The INTERLACE project in Metropolia Krakowska, Poland aims to enhance urban green spaces, promote environmental sustainability and increase community well-being. The project focuses on the 14 smaller municipalities surrounding Kraków, with key activities including the creation of a multifunctional green area on a former oxbow lake, development of a cycle path to connect urban and industrial zones with rural areas, and adoption of a Climate Strategy for 2024-2030.",unknown,Metropolia Krakowska,Poland,city,"['urban green spaces', 'multifunctional green area', 'cycle path']","['environmental sustainability', 'community well-being', 'urban ecosystem restoration']",[],"['enhanced urban green spaces', 'promoted environmental sustainability', 'increased community well-being', 'creation of a new multifunctional green space', 'development of a new cycle path', 'increased capacity of local government to implement integrated and ecologically coherent urban planning and governance approaches', 'raised awareness and understanding of the benefits of healthy (peri)urban ecosystems for social, cultural and economic wellbeing']",Metropolia Krakowska in cooperation with INTERLACE project partners,https://oppla.eu/interlace/case-study/interlace-project-metropolia-krakowska-poland-using-nature-based-solutions-enhance-urban,urban,2025-09-14 11:24:10
"INTERLACE project in Granollers, Spain: using nature-based solutions for green transformation with community involvement","The INTERLACE project in Granollers, Spain, aims to restore and maintain the ecological and landscape connectivity of the city's river basins and Mediterranean forests. The project involves large-scale nature-based solutions, including the restoration of the Congost River, and the creation of a network of multifunctional green areas. The project also emphasizes community involvement and education about urban ecosystem restoration.",unknown,Granollers,Spain,city,"['green transformation', 'river restoration', 'urban ecosystem restoration']","['degradation of river basins and mediterranean forests', 'lack of ecological and landscape connectivity']",[],"['public engagement in co-producing and promoting ownership of nature-based solutions', 'increased capacity of local government to implement integrated and ecologically coherent urban planning and governance approaches', 'raised awareness and understanding of the benefits of healthy (peri)urban ecosystems for social, cultural and economic wellbeing']","Ajuntament de Granollers, Universitat Autònoma de Barcelona, Ecologic Institute",https://oppla.eu/interlace/case-study/interlace-project-granollers-spain-using-nature-based-solutions-green-transformation,urban,2025-09-14 11:24:10
"INTERLACE project in Envigado, Colombia","The INTERLACE project in Envigado, Colombia aims to address environmental and socio-economic challenges for a resilient city using nature-based solutions. The project focuses on improving environmental and development policies, creating a network of communities for knowledge exchange, and strengthening the ecological structure. Key aims include preserving the Envigado Local System of Protected Areas, improving quality of life through urban protected areas, promoting proper water resource management, and increasing green infrastructure.",unknown,Envigado,Colombia,city,"['urban protected areas', 'water resource management', 'green infrastructure']","['environmental challenges', 'socio-economic challenges']","['improved quality of life', 'mental and physical health']","['strengthened silape management plan', 'formulated a biodiversity policy', 'engaged several hundred young people', 'co-created a monitoring strategy', 'public engagement in co-producing and promoting ownership of nature-based solutions', 'increased capacity of local government', 'raised awareness and understanding of the benefits of healthy ecosystems', 'strengthened cooperation between european and celac communities']","Alcaldía de Envigado, Instituto Humboldt, WWF Colombia, Ecologic Institute",https://oppla.eu/interlace/case-study/interlace-project-envigado-colombia-using-nature-based-solutions-address-environmental,urban,2025-09-14 11:24:10
"INTERLACE project in El Corredor Biológico Interurbano María Aguilar (CBIMA), Costa Rica","The INTERLACE project in CBIMA, Costa Rica aims to enhance environmental sustainability and community well-being through nature-based solutions. The project includes reforestation efforts, addressing urban water runoff issues, and integrating green walls into urban infrastructure. It also involves engaging the public through events, knowledge exchange, and co-developing new governance instruments.",unknown,El Corredor Biológico Interurbano María Aguilar (CBIMA),Costa Rica,city,"['reforestation', 'urban water runoff management', 'green walls']","['urban water runoff', 'biodiversity loss', 'urban heat']",['air purification'],"['establishment of a mini-forest and an urban orchard', 'installation of natural permeable pavements', 'integration of green walls into urban infrastructure', 'public engagement in nature-based solutions', 'increased capacity of local government for urban planning', 'raised awareness of benefits of healthy urban ecosystems', 'strengthened cooperation on urban ecological restoration']","Instituto Nacional de Vivienda y Urbanismo, Universidad Nacional, La Unión Nacional de Gobiernos Locales (UNGL), Ecologic Institute",https://oppla.eu/interlace/case-study/interlace-project-el-corredor-biologico-interurbano-maria-aguilar-cbima-costa-rica-using,urban,2025-09-14 11:24:10
