title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context
American Forests’ Tree Equity Pledge,"The Phoenix Tree Equity Pledge, launched in 2021, is a city-wide initiative focused on addressing urban tree inequity and reducing the effects of extreme heat, especially in vulnerable communities. The initiative aims to achieve 'tree equity' by 2030, ensuring all neighborhoods receive the benefits trees offer. The city will enhance tree coverage in underserved neighborhoods by planting 20,000 trees across 25 neighborhoods by 2030.",ongoing,Phoenix,United States,city,"['urban reforestation', 'restoration of street trees', 'creation of new green areas', 'creation of green corridors']","['extreme heat', 'air quality', 'social inequity', 'urban tree inequity']","['reducing heat-related illnesses', 'improving physical health']","['lowered local temperature', 'enhanced carbon sequestration', 'increased protection against flooding', 'increased ecological connectivity across regeneration sites and scales', 'increase of green jobs', 'improved liveability', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces', 'improved physical health']",The city of Phoenix and Maricopa County developed and implemented the Tree Equity Pledge in collaboration with American Forests and the Phoenix Metro Urban Forestry Roundtable.,unknown,urban
Environmental education project in the Green Play City,"The 'Green Play City' is a nature experience park in Bonn, Germany, initiated and administered by the non-profit organization 'Wissenschaftsladen'. The project combines nature experience and recreation with education about the environment and nature-based design. The initiative 'Raus aus'm Haus' aims at expanding the educational and participatory component of the Green Play City by collaborating with schools and kindergartens.",completed,Bonn,Germany,neighborhood,"['parks and urban forests', 'large urban parks or forests']","['green space, habitats and biodiversity', 'social justice, cohesion and equity', 'health and well-being']",['enabling opportunities for physical activity'],"['increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'improved social cohesion', 'increased opportunities for social interaction', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","The Wissenschaftsladen Bonn eV (WiLa) association was responsible for the initiation, project design, fundraising and execution of the whole project.",unknown,urban
Fog Water Farm Park and Gardens,"The project, initiated by the University of Washington in 2013, aimed to address challenges faced by the inhabitants of Eliseo Collazos, a coastal desert ecosystem in Lima, Peru. The project involved the creation of green spaces, community gardens, and fog catchers to improve air quality, food security, and community well-being. The project also aimed to combat environmental degradation and biodiversity loss in the region.",completed,Eliseo Collazos,Peru,neighborhood,"['community gardens', 'green spaces', 'fog catchers']","['environmental degradation', 'biodiversity loss', 'air pollution', 'food insecurity']","['improved air quality', 'improved mental health', 'improved physical health']","['improved air quality', 'increased green space area', 'increased number of species present', 'increase in agricultural production', 'improved social cohesion', 'improved liveability', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'gain in activities for recreation and exercise', 'improved physical health', 'improved mental health', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased knowledge of locals about local nature', 'increased perception of safety']","The project was initiated by Washington University and implemented in partnership with the Community of Eliseo Collazos, Architects Without Borders-Seattle, Traction, Movimiento Peruanas Sin Agua, the Universidad Nacional Mayor de San Marcos, and the National Institute of Health Fogarty Global Health Fellowship Program and US Environmental Protection Agency P3 Competition.",unknown,coastal
GLAS Community Garden in Blanchardstown,"A community garden opened in 2023 on the Technological University (TU) Dublin Blanchardstown campus. This environmental education and social inclusion project is a collaborative effort involving Fingal County Council, Global Action Plan Ireland, TU Dublin, and the local community. It provides a space for local groups and schools to grow fresh produce, reconnect with nature, and foster a stronger sense of community. The garden operates on organic and regenerative principles, with all tasks and harvests shared by volunteers.",ongoing,Blanchardstown,Ireland,neighborhood,"['community gardens', 'horticulture']","['environmental quality', 'soil quality improvement', 'green space creation and/or management', 'improving mental health', 'improving physical health', 'social justice and equity', 'social interaction', 'environmental education', 'sense of community and community engagement', 'sustainable consumption', 'sustainable production']","['improved mental health', 'improved physical health']","['improved soil quality', 'increased green space area', 'improved social cohesion', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces', 'improved physical health', 'improved mental health', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']","This community garden project is a collaborative effort between Fingal County Council, Global Action Plan Ireland (NGO), TU Dublin, and the local community. The university owns the site, and Global Action Plan operates it, with financial support from Fingal County Council.",unknown,urban
Heat Action Planning in Lindo Park-Roesley Park Neighborhood,"The Heat Action Planning project in the Lindo Park-Roesley Park Neighborhood in Phoenix, Arizona, addresses the heat-related challenges residents face in this area. The project aims to provide both mitigation and adaptation strategies to reduce the direct impacts of heat and help residents cope more effectively with these conditions. The project focuses on heat hazards such as extreme temperature events and the urban heat island effect, which disproportionately affect vulnerable populations. This project is a collaborative effort, uniting a range of stakeholders to develop comprehensive heat mitigation and adaptation strategies that address social equity and strengthen community engagement.",ongoing,"Lindo Park-Roesley Park Neighborhood, Phoenix",United States,neighborhood,"['urban forests', 'green spaces', 'climate action for adaptation, resilience and mitigation', 'air quality improvement', 'green space creation and/or management', 'stormwater and rainfall management and storage', 'creation of opportunities for recreation', 'inclusive governance', 'social justice and equity']","['heat stress', 'extreme temperatures', 'physical health harm', 'inadequate access to recreational opportunities']","['improved physical health', 'reduced risk of heatstroke and/or dehydration']","['lowered local temperature', 'improved air quality', 'improved stormwater management', 'increased number of species present', 'improved liveability', 'improved community safety to climate-related hazards']","The Nature Conservancy led the project, with support from the Central Arizona Conservation Alliance, the Urban Resilience to Extremes Sustainability Research Network, Arizona State University’s Urban Climate Research Center, and the Maricopa County Department of Public Health. The project relied heavily on community workshops to identify residents' key concerns.",unknown,urban
Renatura pilot: Fast Forests for Lisbon,"The project aims to restore forests within Lisbon to mitigate the effects of urban heat islands and enhance ecological connectivity. It involves the creation of fast forests using the Miyawaki method, which includes dense planting of native trees, removal of invasive plants, and intensive initial care. The project also encourages public participation in tree planting and forest maintenance.",completed,"Parque Casal Vistoso, Bela Vista Park, Eastern Green Corridor of Lisbon",Portugal,neighborhood,"['urban forests', 'native vegetation restoration', 'ecological networks']","['biodiversity loss', 'urban loneliness', 'climate anxiety', 'urban heat islands']","['improved mental health', 'recreation', 'improved physical health', 'improved prevention of respiratory problems', 'enhanced cognitive restoration, relaxation and stress relief']","['lowered local temperature', 'enhanced carbon sequestration', 'improved air quality', 'reduced noise exposure', 'improved stormwater management', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present', 'increased presence and recovery of wild species', 'enhanced support of pollination', 'generation of other type of work opportunities', 'improved social cohesion', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased appreciation for natural spaces', 'increased knowledge of locals about local nature']","The project is coordinated by Lisbon Municipality and managed by the NGO URBEM. It also involves participation from residents, volunteers, and private organisations like the local law firm PLMJ.",unknown,urban
The Lower Salt River Restoration Project,"The Lower Salt River Restoration Project is a riparian restoration initiative located in the Tonto National Forest, aiming to restore a section severely impacted by the 2017 Cactus Fire. The project focuses on removing invasive tamarisk trees and planting native seedlings to create a fire-resistant landscape and enhance biodiversity. It also emphasizes community involvement and awareness through environmental education events and volunteer involvement.",ongoing,Lower Salt River Recreation Area,United States,regional,"['riparian restoration', 'invasive species removal', 'native vegetation restoration']","['wildfire risk', 'biodiversity loss', 'flooding risks']",[],"['reduced wildfire risk', 'improved riparian habitat', 'increased biodiversity', 'increased community awareness and engagement']","Co-governance with government and non-government actors including Tonto National Forest, Arizona Department of Forestry and Fire Management, National Forest Foundation, and Ecoculture",unknown,forest
The Red Cross and the Antilles et d'Ailleurs Garden,"The project, developed by D’Antilles et D’Ailleurs and the Red Cross of Martinique, aims to support vulnerable women, particularly migrants from Venezuela, Dominica, and Haiti, through the creation of a therapeutic garden. The garden serves as a nature-based solution, providing a safe space for healing, community-building, and skill development. It is part of a broader European 'Green Health' project supported by Erasmus Plus.",completed,"Fort de France, Fort-de-France (FUA), Martinique",Martinique,city,['community gardens and allotments'],"['social justice, cohesion and equity', 'mental health issues', 'loss of sense of place and identity', 'social fragmentation and isolation', 'poor community engagement']",['mental health improvement'],"['increased green space area', 'improved social cohesion', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']",The project was led by D’Antilles et D’Ailleurs with the Red Cross of Martinique providing the garden space and employing an independent permaculture expert to conduct workshops. The project was funded by the EU through the Erasmus Plus 'Green Health' initiative.,unknown,urban
Three Bays Protected Area,"The Three Bays Protected Area was established as a result of the ReefFix Project, an Integrated Coastal Zone Management (ICZM) Coral Reef and Mangrove Restoration and Watershed Management Demonstration programme. The project aims to protect mangroves, eel grass beds, reefs and habitats crucial for providing livelihoods to nearby communities and housing important fisheries. It also seeks to protect the area from storm surges and provide local communities with ecosystem services such as carbon sequestration and tourism value.",completed,Fort Liberté,Haiti,regional,"['coastal wetland, mangroves and salt marshes', 'coastal landscape management or protection', 'ecological restoration of ecosystems', 'protection of natural ecosystems']","['climate change adaptation', 'climate change mitigation', 'coastal resilience and marine protection', 'coastal protection / hazard mitigation', 'marine and coastal biodiversity protection', 'habitat and biodiversity restoration', 'habitat and biodiversity conservation', 'flood protection', 'stormwater and rainfall management and storage']",[],"['increased protection against sea level rise', 'strengthened capacity to address climate hazards/natural disasters', 'enhanced carbon sequestration', 'increased protection against flooding', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased conservation or restoration of ecosystems', 'increased ecological connectivity across regeneration sites and scales', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'enhanced support of pollination']","The Foundation pour la Protection de la Biodiversité Marine (FoProBiM) outlined the original park boundaries, undertook ecosystem valuation exercises, and participated in the preparation of the legal framework and final establishment of the park boundaries. A co-management agreement with the National Protected Areas Agency (ANAP) was signed by FoProBiM.",unknown,coastal
Vinh River Rehabilitation Project,"The Vinh River Rehabilitation Project is a comprehensive program initiated by the Vietnamese government with support from the World Bank. The project aims to reduce the risk of flooding in urban areas, strengthen urban management capacity to adapt to climate change, and enhance environmental conditions and human quality of life. The project includes structural and non-structural interventions, such as flood control systems, nature-based solutions, wastewater collection and treatment infrastructure, and key transport links.",ongoing,Vinh City,Vietnam,city,"['nature-based solutions', 'flood control systems', 'wastewater collection and treatment infrastructure']","['flooding', 'climate change adaptation', 'urban resilience']",[],"['improved water quality', 'increased protection against flooding', 'increased green space area', 'reduced biodiversity loss']",This project is co-financed and managed by World Bank and the Vietnamese government.,unknown,urban
